分類,ファイル,タイムコード,ID,原文(英語),現在の訳,論点・代替案,質問,回答（記入）,備考
口調サンプル,ep03,00:02:29,61,"Oh, this place is spooky.",うわ　不気味なとこだ,【気弱モード】オタクで弱気（かな/だ・弱い語尾）,このキャラの口調はこの方向でよいですか？（違和感や他案があれば）,,
口調サンプル,ep09,00:15:11,245,We're gonna make this the best funeral ever!,最高の葬式にしてあげよう！,【仕切り屋モード】委員長的に快活（しよう！/の！）※ご指摘で修正済み,このキャラの口調はこの方向でよいですか？（違和感や他案があれば）,,
口調サンプル,ep02,00:04:43,90,What time period is this supposed to be?,これって 一体いつの時代設定だっけ？,一人称「私」・情緒不安定/脱線（老人語尾は使わない）,このキャラの口調はこの方向でよいですか？（違和感や他案があれば）,,
口調サンプル,ep09,00:05:31,99,"You're very strong, Pomni.",きみはとても強い ポムニ,決め台詞（固定訳）。ep03/ep9で反復,このキャラの口調はこの方向でよいですか？（違和感や他案があれば）,,
口調サンプル,ep02,00:03:19,64,"Nah, thanks. I'm trying to quit.",いや　いい　今はやめてるんだ,中性的でそっけない（性別語尾なし・一人称は省略/私）,このキャラの口調はこの方向でよいですか？（違和感や他案があれば）,,
口調サンプル,ep04,00:00:38,16,"Hey, Gangle. I think I found something you'd like.",ねえ　ガングル 気に入りそうなもの　見つけたんだ,同上,このキャラの口調はこの方向でよいですか？（違和感や他案があれば）,,
個別論点,ep09,00:11:39,200,They need someone like you right now.,今　一番必要なのは あなたみたいな人だから,"英語では id199-201 が Ragatha→Pomni の一続き（id201「Pomni…」は呼びかけ）で ""you""=Pomni と読め、話者は Ragatha としています。あなたは『Pomni のセリフ』とのご指摘でした。",話者は Ragatha のまま（現状）でよいか、Pomni の発話として訳し直すか？,,
個別論点,pilot,00:11:21,249,"Thanks for keeping an eye on it, Kaufy.",見ててくれて ありがとな　カフモっち,愛称 Kaufy を全て『カフモっち』に統一。他案: カフモくん / 場面で使い分け,『カフモっち』で統一でよいか、場面ごとに変えるか？,,
個別論点,ep09,00:28:35,536,"...we know everything about each other?! / -Jax, we were friends!",お互い 何でも知ってるとでも思ってんのか！？ -ジャックス 私たち 友達だったでしょ！,1つの字幕枠に2話者の長い台詞が同居し、表示時間に対し長すぎます（約23字/秒＝推奨7の3倍）。現状は原文尊重で縮約していません。他案: 縮約する / 表示時間を延ばす（元データは連続配置で延長余地が小さい）。,読み切れなくても原文尊重を優先か、縮約してよいか？（全話共通の方針として）,,
個別論点,ep06,00:03:22,85,...you get 'assuming' out of 'u' and 'ming.',その中には ちゃんと『ミング』が隠れているのさ,英語の assuming→a-su-Ming の語呂は日本語で再現不能。現状は『ミング』という人物ネタとして意訳（後で本人が登場）。他案: 別の日本語駄洒落に差し替え / 注記を付ける。,この処理でよいか？（言葉遊びは他にも複数あり、方針を決めれば横展開します）,,
個別論点,（全話共通）,,,（効果音削除後の純SFX字幕の扱い）,（空欄のまま表示時間だけ残る）,効果音を削除した結果、純効果音だけの字幕は『空欄で残す』処理にしています（ID・件数は不変）。他案: 空欄キューを行ごと削除（ID・件数が変わる）。,空欄で残す／行ごと削除、どちらがよいか？,,
方針・体制,（全体）,,,,,現在、人間が確認したのは pilot と ep9 の2本のみ。残り19本は AI 翻訳＋AI 監査だけです。,次に重点的に確認したいエピソードはどれですか？（複数可。優先順位も）,,
方針・体制,（全体）,,,,,話者タグの無い行は AI 推定のため、取り違えが残っている可能性があります（pilot/ep9 で複数発見・修正済み）。,話者が特に怪しい場面・キャラがあれば教えてください（同種を全話へ横展開します）,,
方針・体制,（全体）,,,,,効率のため、本来分離すべき Step5(意味)/6(口調)/7(仕上げ) を1エージェントに統合、バッチ単位でなくファイル単位、分析(人物・用語)を全話で共有する運用に変えています（元設計からの逸脱）。,この運用で問題ないですか？それとも工程を分離し直すべきですか？,,
